key,num,numz,dynamic_time_warping,cosine_similarity_distance,pearson_correlation,manhattan_distance,euclidean_distance,tanimoto_similarity
CA00044_C,12,36,94.2159,0.5965,0.2328,1803.1223,439.1888,0.3333
LMPR01070462_C,14,42,45.9371,0.593,0.2469,1961.8829,444.6854,0.3333
LMPR0103600002_C,6,36,85.6701,0.1688,-0.3481,2388.0575,510.7937,0.1667
CA00659_C,19,43,121.045,0.6774,0.3362,1915.7179,474.3607,0.4419
CA00416_C,14,33,50.6392,0.7294,0.4686,1231.9002,344.5569,0.4242
CA00675_C,13,50,222.3328,0.4167,-0.0639,3191.9669,620.9451,0.26
LMPR01070367_C,17,43,103.9162,0.722,0.4835,1478.7138,361.4402,0.3953
LMPR0104260001_C,2,43,183.3233,0.0072,-0.5183,3362.9938,627.2932,0.0465
LMPR0104330012_C,13,48,229.0399,0.44,-0.0055,2863.8828,583.1002,0.2708
LMPR0103670002_C,3,39,204.6109,0.1211,-0.3323,2708.6016,556.1541,0.0769
LMPR0104150002_C,6,46,590.9292,0.0728,-0.5293,2878.9898,550.9167,0.1304
CA00739_C,17,44,110.2169,0.5742,0.162,2239.8114,510.9379,0.3864
LMPR01090022_C,10,37,143.3317,0.6226,0.3323,1687.0673,417.5638,0.2703
CA00689_C,13,35,34.8862,0.694,0.3958,1455.8536,381.2089,0.3714
CA01055_C,2,36,236.636,0.0081,-0.4887,2656.448,539.8257,0.0556
CA00455_C,23,68,201.3475,0.564,0.2795,3146.7437,569.1151,0.3382
CA00230_C,16,52,85.9666,0.5686,0.1864,2868.992,554.3933,0.3077
LMPR0102090045_C,4,35,151.581,0.2523,-0.121,2275.4992,501.2567,0.1143
LMPR0106040009_C,8,53,206.7564,0.1771,-0.308,3322.7689,609.1078,0.1509
LMPR01070364_C,21,65,246.8784,0.5384,0.2403,2895.7054,556.6037,0.3231
LMPR0102090022_C,4,33,122.5341,0.2864,-0.0796,2181.466,491.6684,0.1212
LMPR01070142_C,9,34,93.2256,0.5549,0.2334,1786.1065,430.6606,0.2647
LMPR0106150070_C,6,50,162.2916,0.0551,-0.5635,3136.597,563.7235,0.12
LMPR03030006_C,10,37,58.8835,0.3968,-0.0535,2195.6372,491.2187,0.2703
LMPR0106150064_C,10,100,632.7417,0.077,-0.4522,6684.3124,821.6584,0.1
CA00602_C,16,49,50.5329,0.5891,0.2151,2547.5246,524.1246,0.3265
LMPR0104350002_C,7,39,267.0854,0.1181,-0.4178,2946.2979,612.1042,0.1795
CA00371_C,17,41,94.7508,0.729,0.4662,1523.0927,384.4759,0.4146
LMPR02010039_C,12,46,201.558,0.3691,-0.1182,2957.9154,601.5972,0.2609
LMPR0102070011_C,3,35,930.9577,0.027,-0.4077,2667.8565,574.8891,0.0857
LMPR0104080005_C,4,43,242.6993,0.0355,-0.5046,2931.4724,568.2834,0.093
LMPR0104040007_C,5,42,327.3585,0.0301,-0.4895,3081.6784,610.2207,0.119
CA01232_C,17,41,146.3671,0.7029,0.3851,1746.623,439.1207,0.4146
LMPR0102060003_C,4,33,194.6441,0.2694,-0.0566,2157.8479,494.3651,0.1212
LMPR01070011_C,18,43,51.8822,0.7411,0.4887,1593.204,393.8469,0.4186
LMPR0106150053_C,8,68,310.9088,0.1146,-0.4945,4384.5785,652.6602,0.1176
LMPR0102090036_C,2,36,305.0729,0.0191,-0.4335,2734.003,571.5847,0.0556
LMPR01070417_C,12,36,69.2093,0.6671,0.3582,1621.5028,402.7135,0.3333
LMPR0106010038_C,8,35,61.4229,0.3881,0.0049,2038.3511,465.832,0.2286
LMPR0104280002_C,5,42,752.727,0.0461,-0.6547,2574.8543,514.033,0.119
LMPR0106100001_C,6,55,286.7836,0.1114,-0.4574,4070.7763,679.6999,0.1091
CA00292_C,14,44,161.1469,0.5719,0.1799,2379.3815,528.993,0.3182
LMPR01070074_C,19,44,106.8328,0.6203,0.2126,2214.0963,490.6895,0.4318
CA00898_C,7,41,244.7243,0.3254,-0.207,2838.7081,557.3294,0.1707
LMPR0105020004_C,7,43,1175.8886,0.0855,-0.6987,2458.349,504.9123,0.1628
CA00511_C,12,46,171.5462,0.5938,0.2498,2363.9936,503.2655,0.2609
